rank,uni,library,gmaps_rating_original,gmaps_rating_count,opening_hours,qs_rank,gmaps_rating
291,Concordia University,"Webster Library, Concordia University",4.6,171.0,0.51,521,4.4
291,Istanbul University,Konstbiblioteket,5.0,1.0,0.51,801,4.3
291,"The University of Notre Dame, Australia",The University of Notre Dame Australia Library,4.8,5.0,0.51,1201,4.3
291,Doshisha University,Doshisha University Library,4.6,8.0,0.51,1001,4.3
291,California Institute of Technology (Caltech),Sherman Fairchild Library of Engineering and Applied Science,4.7,10.0,0.51,6,4.3
291,National Taiwan Normal University,National Taiwan Normal University Library,4.5,217.0,0.51,334,4.2
291,North South University,North South University Central Library,4.5,171.0,0.51,1001,4.2
291,Meiji University,Meiji University Central Library,4.5,19.0,0.51,1001,4.2
291,James Cook University,Eddie Koiki Mabo Library,4.5,35.0,0.51,424,4.2
291,Fu Jen Catholic University,Fu Jen Catholic University Library - Fahy Library (Main Library),4.5,104.0,0.51,1001,4.2
291,Asia University Taiwan,Asian University Library,4.5,70.0,0.51,?,4.2
291,University of Tsukuba,University of Tsukuba Central Library,4.5,41.0,0.51,285,4.2
291,Saint Petersburg Electrotechnical University ETU-LETI,Saint Petersburg Electrotechnical University,4.5,521.0,0.51,701,4.2
291,Maynooth University,"John Paul II Library, Maynooth University",4.4,17.0,0.51,751,4.1
291,Chiba University,The Library of Chiba University,4.4,17.0,0.51,477,4.1
